StockCode,TotalInvoices,InvoicesWithRecommended,AttachmentRate,Description,Category,UnitPrice
90175A,25,25,1.0,WHITE GLASS CHUNKY CHARM BRACELET,Accessories & Jewellery,9.34
85130A,10,10,1.0,BEADED PEARL HEART WHITE LARGE,Decor & Gifts,1.65
23093,142,142,1.0,SMALL PARISIENNE HEART PHOTO FRAME ,Decor & Gifts,2.49
23082,297,297,1.0,SET 6 PAPER TABLE LANTERN HEARTS ,Decor & Gifts,3.29
82616B,73,73,1.0,FRAPPUCINO SCARF KNITTING KIT,Storage & Furniture,2.95
21642,101,101,1.0,ASSORTED TUTTI FRUTTI PEN,Stationery,0.85
23100,257,257,1.0,SILVER BELLS TABLE DECORATION,Decor & Gifts,1.25
20652,80,80,1.0,BLUE POLKADOT LUGGAGE TAG ,Stationery,1.25
20661,33,33,1.0,BLUE POLKADOT PURSE ,Bags & Carriers,2.95
21845,82,82,1.0,DAIRY MAID STRIPE MUG,Kitchen & Tableware,2.95
90198B,17,17,1.0,VINTAGE ROSE BEAD BRACELET BLACK,Accessories & Jewellery,4.25
23281,101,101,1.0,FOLDING MIRROR RED  ,Home Decor & Lighting,0.83
20657,33,33,1.0,TROPICAL LUGGAGE TAG,Stationery,1.25
72130,27,27,1.0,COLUMBIAN CANDLE ROUND,Home Decor & Lighting,0.65
22398,248,248,1.0,MAGNETS PACK OF 4 SWALLOWS,Decor & Gifts,1.25
72128,36,36,1.0,COLUMBIAN CANDLE ROUND,Home Decor & Lighting,0.85
23174,322,322,1.0,REGENCY SUGAR BOWL GREEN,Kitchen & Tableware,4.15
22337,77,77,1.0,ANGEL DECORATION PAINTED ZINC ,Decor & Gifts,0.65
22339,83,83,1.0,CHRISTMAS TREE PAINTED ZINC ,Seasonal / Holiday,0.65
82494l,61,61,1.0,WOODEN FRAME ANTIQUE WHITE ,Decor & Gifts,8.47
47591d,56,56,1.0,PINK FAIRY CAKE CHILDRENS APRON,Kitchen & Tableware,5.06
85049e,42,42,1.0,SCANDINAVIAN REDS RIBBONS,Craft & Hobby,3.36
84030e,41,41,1.0,ENGLISH ROSE HOT WATER BOTTLE,Kitchen & Tableware,8.47
85129C,15,15,1.0,BEADED CRYSTAL HEART BLUE SMALL,Decor & Gifts,1.25
22892,199,199,1.0,SET OF SALT AND PEPPER TOADSTOOLS,Utility & DIY,1.25
84849A,53,53,1.0,HELLO SAILOR BLUE SOAP HOLDER,Utility & DIY,1.69
22306,111,111,1.0,SILVER MUG BONE CHINA TREE OF LIFE,Kitchen & Tableware,1.95
23079,106,106,1.0,TOADSTOOL BEDSIDE LIGHT ,Home Decor & Lighting,8.95
23111,138,138,1.0,PARISIENNE SEWING BOX,Storage & Furniture,12.5
84997c,62,62,1.0,BLUE 3 PIECE POLKADOT CUTLERY SET,Kitchen & Tableware,8.47
48173c,7,7,1.0,DOORMAT BLACK FLOCK ,Decor & Gifts,16.98
84997d,73,73,1.0,PINK 3 PIECE POLKADOT CUTLERY SET,Kitchen & Tableware,8.47
47559b,28,28,1.0,TEA TIME OVEN GLOVE,Decor & Gifts,3.36
20960,10,10,1.0,WATERMELON BATH SPONGE,Kitchen & Tableware,2.51
85099f,10,10,1.0,JUMBO BAG STRAWBERRY,Bags & Carriers,5.06
84997b,67,67,1.0,RED 3 PIECE RETROSPOT CUTLERY SET,Kitchen & Tableware,8.47
85123a,67,67,1.0,WHITE HANGING HEART T-LIGHT HOLDER,Decor & Gifts,6.77
85049a,36,36,1.0,TRADITIONAL CHRISTMAS RIBBONS,Seasonal / Holiday,3.36
23103,365,365,1.0,JINGLE BELL HEART DECORATION,Decor & Gifts,1.65
22701,115,115,1.0,PINK DOG BOWL,Kitchen & Tableware,2.95
22362,137,137,1.0,GLASS JAR PEACOCK BATH SALTS,Storage & Furniture,2.95
