StockCode,Description,Segment,CustomerCount,InvoiceCount,TotalQuantity,TotalRevenue,SegmentShare
22343,PARTY PIZZA DISH RED RETROSPOT,Loyal Customers,27,33,708,425.94,0.5625
22343,PARTY PIZZA DISH RED RETROSPOT,Potential Loyalists,10,17,322,149.85999999999999,0.20833333333333334
22343,PARTY PIZZA DISH RED RETROSPOT,Champions / VIPs,7,7,144,60.959999999999994,0.14583333333333334
22343,PARTY PIZZA DISH RED RETROSPOT,At Risk,4,6,531,108.15,0.08333333333333333
22344,PARTY PIZZA DISH PINK POLKADOT,Loyal Customers,16,19,235,114.55,0.47058823529411764
22344,PARTY PIZZA DISH PINK POLKADOT,Potential Loyalists,11,17,280,114.94,0.3235294117647059
22344,PARTY PIZZA DISH PINK POLKADOT,Champions / VIPs,5,5,90,45.779999999999994,0.14705882352941177
22344,PARTY PIZZA DISH PINK POLKADOT,At Risk,2,5,444,98.03999999999999,0.058823529411764705
22345,PARTY PIZZA DISH BLUE POLKADOT,Loyal Customers,15,17,219,96.99,0.5172413793103449
22345,PARTY PIZZA DISH BLUE POLKADOT,Potential Loyalists,8,15,249,103.17,0.27586206896551724
22345,PARTY PIZZA DISH BLUE POLKADOT,At Risk,3,6,462,97.98,0.10344827586206896
22345,PARTY PIZZA DISH BLUE POLKADOT,Champions / VIPs,3,3,42,20.34,0.10344827586206896
22346,PARTY PIZZA DISH GREEN POLKADOT,Loyal Customers,13,15,229,126.85,0.5652173913043478
22346,PARTY PIZZA DISH GREEN POLKADOT,Potential Loyalists,6,12,218,89.89999999999999,0.2608695652173913
22346,PARTY PIZZA DISH GREEN POLKADOT,At Risk,2,3,408,82.8,0.08695652173913043
22346,PARTY PIZZA DISH GREEN POLKADOT,Champions / VIPs,2,2,30,10.14,0.08695652173913043
