CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346,326,2,0.0,1,Champions / VIPs
12347,2,7,4310.0,3,Loyal Customers
12348,75,4,1797.24,3,Loyal Customers
12349,19,1,1757.55,3,Loyal Customers
12350,310,1,334.4,1,Champions / VIPs
12352,36,11,1545.4099999999999,3,Loyal Customers
12353,204,1,89.0,1,Champions / VIPs
12354,232,1,1079.4,1,Champions / VIPs
12355,214,1,459.4,1,Champions / VIPs
12356,23,3,2811.43,3,Loyal Customers
12357,33,1,6207.67,3,Loyal Customers
12358,2,2,1168.06,3,Loyal Customers
12359,8,6,6245.53,3,Loyal Customers
12360,52,3,2662.06,3,Loyal Customers
12361,287,1,189.9,1,Champions / VIPs
12362,3,13,5154.58,3,Loyal Customers
12363,110,2,552.0,3,Loyal Customers
12364,8,4,1313.1,3,Loyal Customers
12365,291,3,320.69,1,Champions / VIPs
12367,4,1,168.9,3,Loyal Customers
12370,51,4,3545.69,3,Loyal Customers
12371,45,2,1887.96,3,Loyal Customers
12372,72,3,1298.04,3,Loyal Customers
12373,311,1,364.6,1,Champions / VIPs
12374,25,1,742.93,3,Loyal Customers
12375,3,3,455.42,3,Loyal Customers
12377,315,2,1628.1200000000001,1,Champions / VIPs
12378,130,1,4008.62,3,Loyal Customers
12379,82,3,850.29,3,Loyal Customers
12380,22,5,2720.56,3,Loyal Customers
12381,5,6,1803.96,3,Loyal Customers
12383,185,6,1839.31,1,Champions / VIPs
12384,29,3,566.16,3,Loyal Customers
12386,338,2,401.9,1,Champions / VIPs
12388,16,6,2780.6600000000003,3,Loyal Customers
12390,80,1,549.84,3,Loyal Customers
12391,22,1,460.89,3,Loyal Customers
12393,72,4,1582.6000000000001,3,Loyal Customers
12394,64,2,1272.48,3,Loyal Customers
12395,16,15,2998.28,3,Loyal Customers
12397,36,2,2409.9,3,Loyal Customers
12398,46,1,1635.66,3,Loyal Customers
12399,119,4,1108.65,3,Loyal Customers
12401,303,1,84.3,1,Champions / VIPs
12402,323,1,225.6,1,Champions / VIPs
12403,50,2,409.7,3,Loyal Customers
12405,149,1,1710.39,1,Champions / VIPs
12406,22,3,3280.75,3,Loyal Customers
12407,50,5,1708.12,3,Loyal Customers
12408,33,9,2842.57,3,Loyal Customers
12409,79,7,11056.93,3,Loyal Customers
12410,301,3,681.08,1,Champions / VIPs
12412,75,3,1226.88,3,Loyal Customers
12413,67,5,694.15,3,Loyal Customers
12414,217,3,562.41,1,Champions / VIPs
12415,24,26,123725.45,2,At Risk
12417,3,12,3578.8,3,Loyal Customers
12418,113,1,668.58,3,Loyal Customers
12420,64,1,600.39,3,Loyal Customers
12421,16,5,806.27,3,Loyal Customers
12422,96,3,803.5600000000001,3,Loyal Customers
12423,1,9,1849.1100000000001,3,Loyal Customers
12424,163,2,1760.96,1,Champions / VIPs
12425,78,1,777.2,3,Loyal Customers
12426,195,1,582.73,1,Champions / VIPs
12427,12,5,708.37,3,Loyal Customers
12428,26,12,7877.2,3,Loyal Customers
12429,9,4,3750.4,3,Loyal Customers
12430,43,1,256.4,3,Loyal Customers
12431,36,18,6416.39,0,Potential Loyalists
12432,43,5,5059.32,3,Loyal Customers
12433,1,7,13375.87,3,Loyal Customers
12434,85,4,765.19,3,Loyal Customers
12435,80,2,7829.89,3,Loyal Customers
12436,100,1,509.01,3,Loyal Customers
12437,2,19,4896.66,0,Potential Loyalists
12438,14,2,2906.85,3,Loyal Customers
12441,367,1,173.55,1,Champions / VIPs
12442,3,1,172.06,3,Loyal Customers
12444,21,5,5005.46,3,Loyal Customers
12445,22,1,133.4,3,Loyal Customers
12446,58,1,1002.3100000000001,3,Loyal Customers
12447,243,1,476.49,1,Champions / VIPs
12448,44,1,449.45,3,Loyal Customers
12449,22,4,4067.29,3,Loyal Customers
12450,156,2,197.88,1,Champions / VIPs
12451,11,6,8933.52,3,Loyal Customers
12452,17,3,428.57,3,Loyal Customers
12453,134,1,707.09,3,Loyal Customers
12454,53,2,8.526512829121202e-14,3,Loyal Customers
12455,73,6,2466.86,3,Loyal Customers
12456,44,4,3153.89,3,Loyal Customers
12457,58,12,1917.78,3,Loyal Customers
12458,71,2,947.4,3,Loyal Customers
12461,94,2,826.88,3,Loyal Customers
12462,2,4,1124.01,3,Loyal Customers
12463,46,7,1303.63,3,Loyal Customers
12464,10,8,1212.05,3,Loyal Customers
12465,8,3,733.89,3,Loyal Customers
12468,143,3,724.04,3,Loyal Customers
12471,2,49,18740.92,0,Potential Loyalists
12472,31,13,6229.48,3,Loyal Customers
12473,29,9,2848.23,3,Loyal Customers
12474,17,30,7116.47,0,Potential Loyalists
12475,54,1,723.38,3,Loyal Customers
12476,1,20,6546.58,0,Potential Loyalists
12477,23,9,13117.01,3,Loyal Customers
12478,4,1,680.99,3,Loyal Customers
12479,4,3,477.3,3,Loyal Customers
12480,28,4,3281.63,3,Loyal Customers
12481,23,11,5590.86,3,Loyal Customers
12483,17,13,2327.13,3,Loyal Customers
12484,33,8,4495.27,3,Loyal Customers
12488,10,3,1298.66,3,Loyal Customers
12489,336,1,334.93,1,Champions / VIPs
12490,5,10,5417.93,3,Loyal Customers
12491,39,1,460.40000000000003,3,Loyal Customers
12492,63,2,263.21,3,Loyal Customers
12493,166,3,416.79,1,Champions / VIPs
12494,10,13,1139.35,3,Loyal Customers
12497,82,1,1043.1,3,Loyal Customers
12498,21,3,403.70000000000005,3,Loyal Customers
12500,23,13,4206.2699999999995,3,Loyal Customers
12501,315,2,2089.68,1,Champions / VIPs
12502,96,5,3723.87,3,Loyal Customers
12503,338,1,-1126.0,1,Champions / VIPs
12504,18,4,114.0,3,Loyal Customers
12505,301,1,-4.5,1,Champions / VIPs
12506,233,1,73.5,1,Champions / VIPs
12507,134,4,1258.06,3,Loyal Customers
12508,26,2,398.27,3,Loyal Customers
12509,284,1,176.5,1,Champions / VIPs
12510,143,2,982.5699999999999,3,Loyal Customers
12512,66,2,138.03,3,Loyal Customers
12513,85,2,586.79,3,Loyal Customers
12514,267,1,1017.68,1,Champions / VIPs
12515,353,1,383.7,1,Champions / VIPs
12516,78,2,1312.06,3,Loyal Customers
12517,28,6,2464.89,3,Loyal Customers
12518,1,5,2056.89,3,Loyal Customers
12519,64,1,340.84,3,Loyal Customers
12520,79,6,2582.5099999999998,3,Loyal Customers
12521,143,1,599.6800000000001,1,Champions / VIPs
12522,39,2,192.72,3,Loyal Customers
12523,2,13,1745.57,3,Loyal Customers
12524,9,8,4485.72,3,Loyal Customers
12526,1,3,1316.66,3,Loyal Customers
12527,82,3,348.71000000000004,3,Loyal Customers
12528,9,8,1922.28,3,Loyal Customers
12530,60,5,1623.63,3,Loyal Customers
12531,15,1,125.22,3,Loyal Customers
12532,30,1,349.83000000000004,3,Loyal Customers
12534,131,1,1089.18,3,Loyal Customers
12535,92,2,716.35,3,Loyal Customers
12536,8,5,4106.819999999999,3,Loyal Customers
12538,29,1,363.95,3,Loyal Customers
12539,22,5,3852.5,3,Loyal Customers
12540,20,19,13309.039999999999,0,Potential Loyalists
12541,30,3,981.18,3,Loyal Customers
12544,30,2,355.7,3,Loyal Customers
12545,75,2,1000.39,3,Loyal Customers
12546,47,3,1141.5,3,Loyal Customers
12547,198,2,207.8,1,Champions / VIPs
12548,166,1,95.19999999999999,1,Champions / VIPs
12550,79,1,964.83,3,Loyal Customers
12551,358,1,168.0,1,Champions / VIPs
12552,39,2,437.82,3,Loyal Customers
12553,8,14,3652.25,3,Loyal Customers
12556,50,2,603.71,3,Loyal Customers
12557,16,5,11990.96,3,Loyal Customers
12558,2,2,0.0,3,Loyal Customers
12559,311,3,536.21,1,Champions / VIPs
12560,5,4,2101.39,3,Loyal Customers
12561,303,1,238.85,1,Champions / VIPs
12562,8,7,3781.7400000000002,3,Loyal Customers
12564,261,1,456.90000000000003,1,Champions / VIPs
12565,282,2,131.17,1,Champions / VIPs
12566,73,2,346.7,3,Loyal Customers
12567,23,11,9114.94,3,Loyal Customers
12569,2,35,4064.9900000000002,0,Potential Loyalists
12571,40,2,519.61,3,Loyal Customers
12572,9,3,1004.72,3,Loyal Customers
12573,227,1,160.54000000000002,1,Champions / VIPs
12574,316,1,218.45000000000002,1,Champions / VIPs
12576,36,6,1306.98,3,Loyal Customers
12577,35,4,595.4,3,Loyal Customers
12578,21,4,2753.36,3,Loyal Customers
12579,73,3,410.72,3,Loyal Customers
12580,247,1,415.7,1,Champions / VIPs
12581,40,1,197.71,3,Loyal Customers
12582,239,2,511.36,1,Champions / VIPs
12583,3,18,7187.34,0,Potential Loyalists
12584,4,18,1893.95,3,Loyal Customers
12585,234,4,1982.81,1,Champions / VIPs
12586,17,2,179.94,3,Loyal Customers
12587,8,1,144.0,3,Loyal Customers
12588,39,1,214.89999999999998,3,Loyal Customers
12589,29,2,646.68,3,Loyal Customers
12590,190,3,9861.38,1,Champions / VIPs
12591,317,1,452.84999999999997,1,Champions / VIPs
12592,92,2,437.6,3,Loyal Customers
12593,109,3,418.09999999999997,3,Loyal Customers
12594,38,11,3320.2200000000003,3,Loyal Customers
12596,51,2,618.27,3,Loyal Customers
12597,19,5,3683.13,3,Loyal Customers
12598,10,9,3002.68,3,Loyal Customers
12599,29,7,1032.58,3,Loyal Customers
12600,29,11,2581.04,3,Loyal Customers
12601,190,6,569.5600000000001,1,Champions / VIPs
12602,59,1,153.12,3,Loyal Customers
12603,22,1,739.1999999999999,3,Loyal Customers
12604,79,2,254.18,3,Loyal Customers
12605,365,1,-7.5,1,Champions / VIPs
12607,58,2,0.0,3,Loyal Customers
12609,78,3,1126.85,3,Loyal Customers
12610,23,7,2057.99,3,Loyal Customers
12611,52,1,1193.32,3,Loyal Customers
12612,58,2,643.59,3,Loyal Customers
12613,31,6,3218.98,3,Loyal Customers
12614,278,1,315.6,1,Champions / VIPs
12615,2,4,2291.19,3,Loyal Customers
12616,85,5,657.25,3,Loyal Customers
12617,29,1,355.53000000000003,3,Loyal Customers
12618,22,1,177.31,3,Loyal Customers
12619,16,13,3214.81,3,Loyal Customers
12620,15,3,1339.4099999999999,3,Loyal Customers
12621,2,23,13612.07,0,Potential Loyalists
12622,232,1,180.1,1,Champions / VIPs
12623,276,1,305.1,1,Champions / VIPs
12624,106,2,641.13,3,Loyal Customers
12625,212,3,2614.32,1,Champions / VIPs
12626,23,13,6388.35,3,Loyal Customers
12627,11,7,4478.53,3,Loyal Customers
12628,4,4,769.61,3,Loyal Customers
12630,10,2,1270.88,3,Loyal Customers
12631,57,1,640.5,3,Loyal Customers
12633,59,5,2140.63,3,Loyal Customers
12635,90,2,1689.18,3,Loyal Customers
12637,67,10,5953.25,3,Loyal Customers
12638,33,1,671.69,3,Loyal Customers
12639,239,1,486.1,1,Champions / VIPs
12640,24,3,1174.58,3,Loyal Customers
12641,115,1,185.9,3,Loyal Customers
12642,25,3,1013.26,3,Loyal Customers
12643,128,6,3344.64,3,Loyal Customers
12644,130,1,477.90999999999997,3,Loyal Customers
12645,34,5,1755.38,3,Loyal Customers
12646,5,2,1346.97,3,Loyal Customers
12647,22,13,3669.92,3,Loyal Customers
12648,155,1,318.05,1,Champions / VIPs
12649,107,4,603.71,3,Loyal Customers
12650,3,1,314.44,3,Loyal Customers
12651,335,1,114.0,1,Champions / VIPs
12652,322,2,914.53,1,Champions / VIPs
12653,149,2,2209.85,1,Champions / VIPs
12654,11,5,601.98,3,Loyal Customers
12656,17,8,3982.72,3,Loyal Customers
12657,11,5,1152.06,3,Loyal Customers
12658,19,1,686.05,3,Loyal Customers
12659,30,1,91.68,3,Loyal Customers
12660,11,1,245.1,3,Loyal Customers
12662,1,12,3817.08,3,Loyal Customers
12664,8,10,4863.88,3,Loyal Customers
12665,325,2,61.75,1,Champions / VIPs
12666,359,1,-227.44,1,Champions / VIPs
12667,58,1,620.13,3,Loyal Customers
12668,7,6,3743.18,3,Loyal Customers
12669,151,4,1607.73,1,Champions / VIPs
12670,10,6,2986.15,3,Loyal Customers
12672,330,1,225.9,1,Champions / VIPs
12673,5,2,610.52,3,Loyal Customers
12674,12,7,1919.31,3,Loyal Customers
12676,25,6,1331.39,3,Loyal Customers
12678,42,13,17588.26,0,Potential Loyalists
12679,52,9,1058.67,3,Loyal Customers
12680,1,4,862.81,3,Loyal Customers
12681,15,27,13677.59,0,Potential Loyalists
12682,4,31,12288.22,0,Potential Loyalists
12683,4,20,8221.09,0,Potential Loyalists
12684,8,7,2283.63,3,Loyal Customers
12685,28,6,2863.08,3,Loyal Customers
12686,372,1,89.14,1,Champions / VIPs
12688,114,1,4873.81,3,Loyal Customers
12689,26,2,1247.61,3,Loyal Customers
12690,206,1,389.01,1,Champions / VIPs
12691,28,6,1035.8,3,Loyal Customers
12693,121,6,830.96,3,Loyal Customers
12694,70,2,869.67,3,Loyal Customers
12695,7,4,582.1,3,Loyal Customers
12697,21,5,939.02,3,Loyal Customers
12700,8,6,4867.99,3,Loyal Customers
12701,80,2,797.71,3,Loyal Customers
12702,20,1,219.0,3,Loyal Customers
12703,64,2,274.7,3,Loyal Customers
12704,7,10,2220.84,3,Loyal Customers
12705,15,14,6814.24,3,Loyal Customers
12707,292,1,603.42,1,Champions / VIPs
12708,30,16,2616.32,3,Loyal Customers
12709,3,26,9294.1,0,Potential Loyalists
12710,97,4,1130.57,3,Loyal Customers
12712,23,17,4241.63,3,Loyal Customers
12713,1,1,848.55,3,Loyal Customers
12714,9,5,4708.86,3,Loyal Customers
12715,106,1,353.86,3,Loyal Customers
12716,4,2,1053.49,3,Loyal Customers
12717,151,3,980.98,1,Champions / VIPs
