Base,Base_Description,Base_Category,Recommended,Rec_Description,Rec_Category,Confidence,Lift,Count,Interpretation
84531A,PINK KNITTED EGG COSY,Easter & Spring,84531B,BLUE KNITTED EGG COSY,Easter & Spring,0.8333333333333334,595.632183908046,25,Strong (bundle)
84531A,PINK KNITTED EGG COSY,Easter & Spring,84531B,returned,Other,0.8333333333333334,595.632183908046,25,Strong (bundle)
84531A,returned,Other,84531B,BLUE KNITTED EGG COSY,Easter & Spring,0.8333333333333334,595.632183908046,25,Strong (bundle)
84531A,returned,Other,84531B,returned,Other,0.8333333333333334,595.632183908046,25,Strong (bundle)
84531B,BLUE KNITTED EGG COSY,Easter & Spring,84531A,PINK KNITTED EGG COSY,Easter & Spring,0.8620689655172413,595.6321839080459,25,Strong (bundle)
84531B,BLUE KNITTED EGG COSY,Easter & Spring,84531A,returned,Other,0.8620689655172413,595.6321839080459,25,Strong (bundle)
84531B,returned,Other,84531A,PINK KNITTED EGG COSY,Easter & Spring,0.8620689655172413,595.6321839080459,25,Strong (bundle)
84531B,returned,Other,84531A,returned,Other,0.8620689655172413,595.6321839080459,25,Strong (bundle)
23420,PANTRY HOOK TEA STRAINER ,Storage & Furniture,23421,PANTRY HOOK SPATULA,Storage & Furniture,0.78125,490.71969696969694,25,Strong (bundle)
23421,PANTRY HOOK SPATULA,Storage & Furniture,23420,PANTRY HOOK TEA STRAINER ,Storage & Furniture,0.7575757575757576,490.71969696969694,25,Strong (bundle)
35916A,YELLOW FELT HANGING HEART W FLOWER,Decor & Gifts,35916B,BLUE FELT HANGING HEART W FLOWER,Decor & Gifts,0.6896551724137931,446.7241379310345,20,Strong (bundle)
35916A,YELLOW FELT HANGING HEART W FLOWER,Decor & Gifts,35916B,BLUE FELT HANGING HEART WITH FLOWER,Decor & Gifts,0.6896551724137931,446.7241379310345,20,Strong (bundle)
35916B,BLUE FELT HANGING HEART W FLOWER,Decor & Gifts,35916A,YELLOW FELT HANGING HEART W FLOWER,Decor & Gifts,0.625,446.7241379310345,20,Strong (bundle)
35916B,BLUE FELT HANGING HEART WITH FLOWER,Decor & Gifts,35916A,YELLOW FELT HANGING HEART W FLOWER,Decor & Gifts,0.625,446.7241379310345,20,Strong (bundle)
21368,MIRRORED WALL ART LADIES,Decor & Gifts,21367,MIRRORED WALL ART GENTS,Decor & Gifts,0.8181818181818182,394.4016913319239,27,Strong (bundle)
21367,MIRRORED WALL ART GENTS,Decor & Gifts,21368,MIRRORED WALL ART LADIES,Decor & Gifts,0.627906976744186,394.40169133192387,27,Strong (bundle)
23421,PANTRY HOOK SPATULA,Storage & Furniture,23422,PANTRY HOOK BALLOON WHISK ,Storage & Furniture,0.8787878787878788,387.5641521598968,29,Strong (bundle)
23422,PANTRY HOOK BALLOON WHISK ,Storage & Furniture,23421,PANTRY HOOK SPATULA,Storage & Furniture,0.6170212765957447,387.5641521598968,29,Strong (bundle)
23420,PANTRY HOOK TEA STRAINER ,Storage & Furniture,23422,PANTRY HOOK BALLOON WHISK ,Storage & Furniture,0.875,385.8936170212766,28,Strong (bundle)
23422,PANTRY HOOK BALLOON WHISK ,Storage & Furniture,23420,PANTRY HOOK TEA STRAINER ,Storage & Furniture,0.5957446808510638,385.89361702127655,28,Strong (bundle)
23522,WALL ART DOG AND BALL ,Decor & Gifts,23521,WALL ART CAT AND BIRD ,Decor & Gifts,0.78125,368.03977272727275,25,Strong (bundle)
23522,WALL ART DOG AND BALL ,Decor & Gifts,23521,CAT AND BIRD WALL ART,Decor & Gifts,0.78125,368.03977272727275,25,Strong (bundle)
23522,DOG AND BALL WALL ART,Decor & Gifts,23521,WALL ART CAT AND BIRD ,Decor & Gifts,0.78125,368.03977272727275,25,Strong (bundle)
23522,DOG AND BALL WALL ART,Decor & Gifts,23521,CAT AND BIRD WALL ART,Decor & Gifts,0.78125,368.03977272727275,25,Strong (bundle)
23521,WALL ART CAT AND BIRD ,Decor & Gifts,23522,WALL ART DOG AND BALL ,Decor & Gifts,0.5681818181818182,368.03977272727275,25,Strong (bundle)
23521,WALL ART CAT AND BIRD ,Decor & Gifts,23522,DOG AND BALL WALL ART,Decor & Gifts,0.5681818181818182,368.03977272727275,25,Strong (bundle)
23521,CAT AND BIRD WALL ART,Decor & Gifts,23522,WALL ART DOG AND BALL ,Decor & Gifts,0.5681818181818182,368.03977272727275,25,Strong (bundle)
23521,CAT AND BIRD WALL ART,Decor & Gifts,23522,DOG AND BALL WALL ART,Decor & Gifts,0.5681818181818182,368.03977272727275,25,Strong (bundle)
23456,MEDIUM PARLOUR PICTURE FRAME ,Home Decor & Lighting,23455,SMALL PARLOUR PICTURE FRAME,Home Decor & Lighting,0.6111111111111112,361.9174603174604,22,Strong (bundle)
23456,MEDIUM PARLOUR PICTURE FRAME ,Home Decor & Lighting,23455,SMALL PARLOUR FRAME,Home Decor & Lighting,0.6111111111111112,361.9174603174604,22,Strong (bundle)
23456,MEDIUM PARLOUR FRAME ,Home Decor & Lighting,23455,SMALL PARLOUR PICTURE FRAME,Home Decor & Lighting,0.6111111111111112,361.9174603174604,22,Strong (bundle)
23456,MEDIUM PARLOUR FRAME ,Home Decor & Lighting,23455,SMALL PARLOUR FRAME,Home Decor & Lighting,0.6111111111111112,361.9174603174604,22,Strong (bundle)
23455,SMALL PARLOUR PICTURE FRAME,Home Decor & Lighting,23456,MEDIUM PARLOUR PICTURE FRAME ,Home Decor & Lighting,0.6285714285714286,361.9174603174603,22,Strong (bundle)
23455,SMALL PARLOUR PICTURE FRAME,Home Decor & Lighting,23456,MEDIUM PARLOUR FRAME ,Home Decor & Lighting,0.6285714285714286,361.9174603174603,22,Strong (bundle)
23455,SMALL PARLOUR FRAME,Home Decor & Lighting,23456,MEDIUM PARLOUR PICTURE FRAME ,Home Decor & Lighting,0.6285714285714286,361.9174603174603,22,Strong (bundle)
23455,SMALL PARLOUR FRAME,Home Decor & Lighting,23456,MEDIUM PARLOUR FRAME ,Home Decor & Lighting,0.6285714285714286,361.9174603174603,22,Strong (bundle)
23575,SNACK TRAY PAISLEY PARK,Kitchen & Tableware,23576,SNACK TRAY RED VINTAGE DOILY,Kitchen & Tableware,0.625,350.13513513513516,20,Strong (bundle)
23576,SNACK TRAY RED VINTAGE DOILY,Kitchen & Tableware,23575,SNACK TRAY PAISLEY PARK,Kitchen & Tableware,0.5405405405405406,350.13513513513516,20,Strong (bundle)
85049a,TRADITIONAL CHRISTMAS RIBBONS,Seasonal / Holiday,85049e,SCANDINAVIAN REDS RIBBONS,Craft & Hobby,0.6944444444444444,342.7248677248677,25,Strong (bundle)
85049e,SCANDINAVIAN REDS RIBBONS,Craft & Hobby,85049a,TRADITIONAL CHRISTMAS RIBBONS,Seasonal / Holiday,0.5952380952380952,342.7248677248677,25,Strong (bundle)
20869,GOLD FABRIC MIRROR,Home Decor & Lighting,20868,SILVER FABRIC MIRROR,Home Decor & Lighting,0.7241379310344828,326.3028485757122,21,Strong (bundle)
20868,SILVER FABRIC MIRROR,Home Decor & Lighting,20869,GOLD FABRIC MIRROR,Home Decor & Lighting,0.45652173913043476,326.3028485757121,21,Strong (bundle)
22184,CAKE STAND VICTORIAN FILIGREE LARGE,Kitchen & Tableware,20699,MOUSEY LONG LEGS SOFT TOY,Toys & Children,0.6285714285714286,317.78118466898957,22,Strong (bundle)
20699,MOUSEY LONG LEGS SOFT TOY,Toys & Children,22184,CAKE STAND VICTORIAN FILIGREE LARGE,Kitchen & Tableware,0.5365853658536586,317.78118466898957,22,Strong (bundle)
23475,WOODLAND SMALL PINK FELT HEART,Decor & Gifts,23473,WOODLAND SMALL RED FELT HEART,Decor & Gifts,0.7741935483870968,314.6565464895636,24,Strong (bundle)
23473,WOODLAND SMALL RED FELT HEART,Decor & Gifts,23475,WOODLAND SMALL PINK FELT HEART,Decor & Gifts,0.47058823529411764,314.6565464895636,24,Strong (bundle)
22257,FELT FARM ANIMAL SHEEP,Animal & Pet,22259,FELT FARM ANIMAL HEN,Animal & Pet,0.6666666666666666,314.06060606060606,28,Strong (bundle)
22259,FELT FARM ANIMAL HEN,Animal & Pet,22257,FELT FARM ANIMAL SHEEP,Animal & Pet,0.6363636363636364,314.06060606060606,28,Strong (bundle)
85124B,BLUE JUICY FRUIT PHOTO FRAME,Home Decor & Lighting,85124C,GREEN JUICY FRUIT PHOTO FRAME,Home Decor & Lighting,0.5897435897435898,313.4411571334648,23,Strong (bundle)
85124C,GREEN JUICY FRUIT PHOTO FRAME,Home Decor & Lighting,85124B,BLUE JUICY FRUIT PHOTO FRAME,Home Decor & Lighting,0.5897435897435898,313.4411571334648,23,Strong (bundle)
84563A,PINK & WHITE BREAKFAST TRAY,Kitchen & Tableware,84563B,BLUE & WHITE BREAKFAST TRAY,Kitchen & Tableware,0.5714285714285714,311.69924812030075,20,Strong (bundle)
84563B,BLUE & WHITE BREAKFAST TRAY,Kitchen & Tableware,84563A,PINK & WHITE BREAKFAST TRAY,Kitchen & Tableware,0.5263157894736842,311.69924812030075,20,Strong (bundle)
23474,WOODLAND SMALL BLUE FELT HEART,Decor & Gifts,23473,WOODLAND SMALL RED FELT HEART,Decor & Gifts,0.7567567567567568,307.5696873343933,28,Strong (bundle)
23473,WOODLAND SMALL RED FELT HEART,Decor & Gifts,23474,WOODLAND SMALL BLUE FELT HEART,Decor & Gifts,0.5490196078431373,307.5696873343932,28,Strong (bundle)
21378,SMALL TALL CAMPHOR WOOD TOADSTOOL,Utility & DIY,21379,CAMPHOR WOOD PORTOBELLO MUSHROOM,Other,0.7352941176470589,304.8235294117647,25,Strong (bundle)
21379,CAMPHOR WOOD PORTOBELLO MUSHROOM,Other,21378,SMALL TALL CAMPHOR WOOD TOADSTOOL,Utility & DIY,0.5,304.8235294117647,25,Strong (bundle)
84625A,PINK NEW BAROQUECANDLESTICK CANDLE,Home Decor & Lighting,84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,Home Decor & Lighting,0.5,296.11428571428576,21,Strong (bundle)
84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,Home Decor & Lighting,84625A,PINK NEW BAROQUECANDLESTICK CANDLE,Home Decor & Lighting,0.6,296.1142857142857,21,Strong (bundle)
21270,ANTIQUE CREAM CUTLERY CUPBOARD,Kitchen & Tableware,84251C,"GREETING CARD, TWO SISTERS.",Storage & Furniture,0.5555555555555556,287.8888888888889,20,Strong (bundle)
84251C,"GREETING CARD, TWO SISTERS.",Storage & Furniture,21270,ANTIQUE CREAM CUTLERY CUPBOARD,Kitchen & Tableware,0.5,287.88888888888886,20,Strong (bundle)
21377,SMALL CAMPHOR WOOD FIELD  MUSHROOM,Other,21379,CAMPHOR WOOD PORTOBELLO MUSHROOM,Other,0.6829268292682927,283.1141463414634,28,Strong (bundle)
21379,CAMPHOR WOOD PORTOBELLO MUSHROOM,Other,21377,SMALL CAMPHOR WOOD FIELD  MUSHROOM,Other,0.56,283.1141463414634,28,Strong (bundle)
23324,RUSTIC STRAWBERRY JAMPOT LARGE ,Garden & Outdoor,23325,RUSTIC STRAWBERRY JAM POT SMALL,Garden & Outdoor,0.4772727272727273,282.6545454545455,21,Strong (bundle)
23324,RUSTIC STRAWBERRY JAMPOT LARGE ,Garden & Outdoor,23325,RUSTIC STRAWBERRY JAMPOT SMALL,Garden & Outdoor,0.4772727272727273,282.6545454545455,21,Strong (bundle)
23324,RUSTIC STRAWBERRY JAM POT LARGE ,Garden & Outdoor,23325,RUSTIC STRAWBERRY JAM POT SMALL,Garden & Outdoor,0.4772727272727273,282.6545454545455,21,Strong (bundle)
23324,RUSTIC STRAWBERRY JAM POT LARGE ,Garden & Outdoor,23325,RUSTIC STRAWBERRY JAMPOT SMALL,Garden & Outdoor,0.4772727272727273,282.6545454545455,21,Strong (bundle)
23325,RUSTIC STRAWBERRY JAM POT SMALL,Garden & Outdoor,23324,RUSTIC STRAWBERRY JAMPOT LARGE ,Garden & Outdoor,0.6,282.6545454545454,21,Strong (bundle)
23325,RUSTIC STRAWBERRY JAM POT SMALL,Garden & Outdoor,23324,RUSTIC STRAWBERRY JAM POT LARGE ,Garden & Outdoor,0.6,282.6545454545454,21,Strong (bundle)
23325,RUSTIC STRAWBERRY JAMPOT SMALL,Garden & Outdoor,23324,RUSTIC STRAWBERRY JAMPOT LARGE ,Garden & Outdoor,0.6,282.6545454545454,21,Strong (bundle)
23325,RUSTIC STRAWBERRY JAMPOT SMALL,Garden & Outdoor,23324,RUSTIC STRAWBERRY JAM POT LARGE ,Garden & Outdoor,0.6,282.6545454545454,21,Strong (bundle)
35957,SMALLFOLKART BAUBLE CHRISTMAS DEC,Seasonal / Holiday,22184,CAKE STAND VICTORIAN FILIGREE LARGE,Kitchen & Tableware,0.47619047619047616,282.01360544217687,20,Strong (bundle)
35957,,Other,22184,CAKE STAND VICTORIAN FILIGREE LARGE,Kitchen & Tableware,0.47619047619047616,282.01360544217687,20,Strong (bundle)
22184,CAKE STAND VICTORIAN FILIGREE LARGE,Kitchen & Tableware,35957,SMALLFOLKART BAUBLE CHRISTMAS DEC,Seasonal / Holiday,0.5714285714285714,282.0136054421768,20,Strong (bundle)
22184,CAKE STAND VICTORIAN FILIGREE LARGE,Kitchen & Tableware,35957,,Other,0.5714285714285714,282.0136054421768,20,Strong (bundle)
84313B,BLUE TV TRAY TABLE ,Kitchen & Tableware,84251C,"GREETING CARD, TWO SISTERS.",Storage & Furniture,0.5384615384615384,279.03076923076924,21,Strong (bundle)
84251C,"GREETING CARD, TWO SISTERS.",Storage & Furniture,84313B,BLUE TV TRAY TABLE ,Kitchen & Tableware,0.525,279.03076923076924,21,Strong (bundle)
23055,IVORY CHANDELIER T-LIGHT HOLDER,Home Decor & Lighting,23057,BEADED CHANDELIER T-LIGHT HOLDER,Home Decor & Lighting,0.6052631578947368,278.79766081871344,23,Strong (bundle)
23055,IVORY CHANDELIER T-LIGHT HOLDER,Home Decor & Lighting,23057,GEMSTONE CHANDELIER T-LIGHT HOLDER,Home Decor & Lighting,0.6052631578947368,278.79766081871344,23,Strong (bundle)
23057,BEADED CHANDELIER T-LIGHT HOLDER,Home Decor & Lighting,23055,IVORY CHANDELIER T-LIGHT HOLDER,Home Decor & Lighting,0.5111111111111111,278.79766081871344,23,Strong (bundle)
23057,GEMSTONE CHANDELIER T-LIGHT HOLDER,Home Decor & Lighting,23055,IVORY CHANDELIER T-LIGHT HOLDER,Home Decor & Lighting,0.5111111111111111,278.79766081871344,23,Strong (bundle)
84251C,"GREETING CARD, TWO SISTERS.",Storage & Furniture,20854,BLUE PATCH PURSE PINK HEART,Decor & Gifts,0.55,278.05853658536586,22,Strong (bundle)
20854,BLUE PATCH PURSE PINK HEART,Decor & Gifts,84251C,"GREETING CARD, TWO SISTERS.",Storage & Furniture,0.5365853658536586,278.05853658536586,22,Strong (bundle)
23556,LANDMARK FRAME COVENT GARDEN ,Home Decor & Lighting,23554,LANDMARK FRAME OXFORD STREET,Home Decor & Lighting,0.7547169811320755,274.4521681562397,40,Strong (bundle)
23554,LANDMARK FRAME OXFORD STREET,Home Decor & Lighting,23556,LANDMARK FRAME COVENT GARDEN ,Home Decor & Lighting,0.7017543859649122,274.4521681562396,40,Strong (bundle)
84931B,BLUE SCOTTIE DOG W FLOWER PATTERN,Garden & Outdoor,84931A,PINK SCOTTIE DOG W FLOWER PATTERN,Garden & Outdoor,0.673469387755102,273.71908763505405,33,Strong (bundle)
84931A,PINK SCOTTIE DOG W FLOWER PATTERN,Garden & Outdoor,84931B,BLUE SCOTTIE DOG W FLOWER PATTERN,Garden & Outdoor,0.6470588235294118,273.71908763505405,33,Strong (bundle)
84251C,"GREETING CARD, TWO SISTERS.",Storage & Furniture,22259,FELT FARM ANIMAL HEN,Animal & Pet,0.575,270.8772727272727,23,Strong (bundle)
22259,FELT FARM ANIMAL HEN,Animal & Pet,84251C,"GREETING CARD, TWO SISTERS.",Storage & Furniture,0.5227272727272727,270.8772727272727,23,Strong (bundle)
23529,WALL ART DOLLY GIRL ,Decor & Gifts,23528,WALL ART SPACEBOY,Decor & Gifts,0.6486486486486487,268.9037837837838,24,Strong (bundle)
23529,WALL ART DOLLY GIRL ,Decor & Gifts,23528,SPACEBOY WALL ART,Decor & Gifts,0.6486486486486487,268.9037837837838,24,Strong (bundle)
23529,DOLLY GIRL WALL ART,Decor & Gifts,23528,WALL ART SPACEBOY,Decor & Gifts,0.6486486486486487,268.9037837837838,24,Strong (bundle)
23529,DOLLY GIRL WALL ART,Decor & Gifts,23528,SPACEBOY WALL ART,Decor & Gifts,0.6486486486486487,268.9037837837838,24,Strong (bundle)
23528,WALL ART SPACEBOY,Decor & Gifts,23529,WALL ART DOLLY GIRL ,Decor & Gifts,0.48,268.90378378378375,24,Strong (bundle)
23528,WALL ART SPACEBOY,Decor & Gifts,23529,DOLLY GIRL WALL ART,Decor & Gifts,0.48,268.90378378378375,24,Strong (bundle)
23528,SPACEBOY WALL ART,Decor & Gifts,23529,WALL ART DOLLY GIRL ,Decor & Gifts,0.48,268.90378378378375,24,Strong (bundle)
23528,SPACEBOY WALL ART,Decor & Gifts,23529,DOLLY GIRL WALL ART,Decor & Gifts,0.48,268.90378378378375,24,Strong (bundle)
22184,CAKE STAND VICTORIAN FILIGREE LARGE,Kitchen & Tableware,47591B,SCOTTIES CHILDRENS APRON,Toys & Children,0.7428571428571429,265.4817733990148,26,Strong (bundle)
22184,CAKE STAND VICTORIAN FILIGREE LARGE,Kitchen & Tableware,47591B,,Other,0.7428571428571429,265.4817733990148,26,Strong (bundle)
47591B,SCOTTIES CHILDRENS APRON,Toys & Children,22184,CAKE STAND VICTORIAN FILIGREE LARGE,Kitchen & Tableware,0.4482758620689655,265.4817733990148,26,Strong (bundle)
47591B,,Other,22184,CAKE STAND VICTORIAN FILIGREE LARGE,Kitchen & Tableware,0.4482758620689655,265.4817733990148,26,Strong (bundle)
84251C,"GREETING CARD, TWO SISTERS.",Storage & Furniture,20699,MOUSEY LONG LEGS SOFT TOY,Toys & Children,0.525,265.41951219512197,21,Strong (bundle)
20699,MOUSEY LONG LEGS SOFT TOY,Toys & Children,84251C,"GREETING CARD, TWO SISTERS.",Storage & Furniture,0.5121951219512195,265.41951219512197,21,Strong (bundle)
