Base,Base_Description,Base_Category,Recommended,Rec_Description,Rec_Category,Confidence,Lift,Count,Interpretation
20699,MOUSEY LONG LEGS SOFT TOY,Toys & Children,47591B,,Other,0.6585365853658537,235.3473507148865,27,Strong (bundle)
20854,BLUE PATCH PURSE PINK HEART,Decor & Gifts,20856,DENIM PATCH PURSE PINK BUTTERFLY,Bags & Carriers,0.6341463414634146,215.48500599760095,26,Strong (bundle)
20854,BLUE PATCH PURSE PINK HEART,Decor & Gifts,20867,PINK ROSE FABRIC MIRROR,Home Decor & Lighting,0.6341463414634146,212.00944138473645,26,Strong (bundle)
20856,DENIM PATCH PURSE PINK BUTTERFLY,Bags & Carriers,20854,BLUE PATCH PURSE PINK HEART,Decor & Gifts,0.4262295081967213,215.48500599760095,26,Strong (bundle)
20867,PINK ROSE FABRIC MIRROR,Home Decor & Lighting,20854,BLUE PATCH PURSE PINK HEART,Decor & Gifts,0.4193548387096774,212.00944138473645,26,Strong (bundle)
21051,RIBBONS PURSE ,Bags & Carriers,84251C,"GREETING CARD, TWO SISTERS.",Storage & Furniture,0.4423076923076923,229.20384615384617,23,Strong (bundle)
21051,found,Other,84251C,"GREETING CARD, TWO SISTERS.",Storage & Furniture,0.4423076923076923,229.20384615384617,23,Strong (bundle)
21082,SET/20 FRUIT SALAD PAPER NAPKINS ,Stationery,84997d,PINK 3 PIECE POLKADOT CUTLERY SET,Kitchen & Tableware,0.7692307692307693,218.41938883034777,20,Strong (bundle)
21082,SET/20 FRUIT SALAD PAPER NAPKINS ,Stationery,84997d,CHILDRENS CUTLERY POLKADOT PINK,Kitchen & Tableware,0.7692307692307693,218.41938883034777,20,Strong (bundle)
21270,ANTIQUE CREAM CUTLERY CUPBOARD,Kitchen & Tableware,84251C,"GREETING CARD, TWO SISTERS.",Storage & Furniture,0.5555555555555556,287.8888888888889,20,Strong (bundle)
21378,SMALL TALL CAMPHOR WOOD TOADSTOOL,Utility & DIY,21379,CAMPHOR WOOD PORTOBELLO MUSHROOM,Other,0.7352941176470589,304.8235294117647,25,Strong (bundle)
21379,CAMPHOR WOOD PORTOBELLO MUSHROOM,Other,21378,SMALL TALL CAMPHOR WOOD TOADSTOOL,Utility & DIY,0.5,304.8235294117647,25,Strong (bundle)
21847,GREEN  DIAMANTE PEN IN GIFT BOX,Storage & Furniture,84748,FOLK FELT HANGING MULTICOL GARLAND,Decor & Gifts,0.6666666666666666,226.53551912568304,22,Strong (bundle)
22184,CAKE STAND VICTORIAN FILIGREE LARGE,Kitchen & Tableware,47591B,SCOTTIES CHILDRENS APRON,Toys & Children,0.7428571428571429,265.4817733990148,26,Strong (bundle)
22184,CAKE STAND VICTORIAN FILIGREE LARGE,Kitchen & Tableware,47591B,,Other,0.7428571428571429,265.4817733990148,26,Strong (bundle)
22447,PIN CUSHION BABUSHKA BLUE,Textiles & Covers,84251C,"GREETING CARD, TWO SISTERS.",Storage & Furniture,0.4444444444444444,230.3111111111111,20,Strong (bundle)
22447,PIN CUSHION BABUSHKA BLUE,Textiles & Covers,20699,MOUSEY LONG LEGS SOFT TOY,Toys & Children,0.4444444444444444,224.69376693766935,20,Strong (bundle)
23124,18PC WOODEN CUTLERY SET DISPOSABLE,Decor & Gifts,23125,6PC WOOD PLATE SET DISPOSABLE,Kitchen & Tableware,0.4651162790697674,253.70869033047737,20,Strong (bundle)
23125,6PC WOOD PLATE SET DISPOSABLE,Kitchen & Tableware,23124,18PC WOODEN CUTLERY SET DISPOSABLE,Decor & Gifts,0.5263157894736842,253.70869033047737,20,Strong (bundle)
35957,SMALLFOLKART BAUBLE CHRISTMAS DEC,Seasonal / Holiday,47591B,SCOTTIES CHILDRENS APRON,Toys & Children,0.6428571428571429,229.74384236453204,27,Strong (bundle)
35957,SMALLFOLKART BAUBLE CHRISTMAS DEC,Seasonal / Holiday,47591B,,Other,0.6428571428571429,229.74384236453204,27,Strong (bundle)
47559b,TEA TIME OVEN GLOVE,Decor & Gifts,84997b,RED 3 PIECE RETROSPOT CUTLERY SET,Kitchen & Tableware,0.75,232.02985074626864,21,Strong (bundle)
47559b,TEA TIME OVEN GLOVE,Decor & Gifts,84997b,CHILDRENS CUTLERY RETROSPOT RED ,Kitchen & Tableware,0.75,232.02985074626864,21,Strong (bundle)
47591B,,Other,20699,MOUSEY LONG LEGS SOFT TOY,Toys & Children,0.4655172413793103,235.3473507148865,27,Strong (bundle)
47594A,CAROUSEL DESIGN WASHBAG,Decor & Gifts,84251C,"GREETING CARD, TWO SISTERS.",Storage & Furniture,0.4,207.28,20,Strong (bundle)
82494l,WOODEN FRAME ANTIQUE WHITE ,Decor & Gifts,85049a,TRADITIONAL CHRISTMAS RIBBONS,Seasonal / Holiday,0.4262295081967213,245.4134790528233,26,Strong (bundle)
84086C,PINK/PURPLE RETRO RADIO,Retro & Vintage,84251C,"GREETING CARD, TWO SISTERS.",Storage & Furniture,0.4339622641509434,224.8792452830189,23,Strong (bundle)
84086C,PINK/PURPLE RETRO RADIO,Retro & Vintage,22184,CAKE STAND VICTORIAN FILIGREE LARGE,Kitchen & Tableware,0.3773584905660377,223.4824797843666,20,Strong (bundle)
84251C,"GREETING CARD, TWO SISTERS.",Storage & Furniture,22259,FELT FARM ANIMAL HEN,Animal & Pet,0.575,270.8772727272727,23,Strong (bundle)
84251C,"GREETING CARD, TWO SISTERS.",Storage & Furniture,85180B,PINK HEARTS LIGHT CHAIN ,Decor & Gifts,0.575,248.30416666666667,23,Strong (bundle)
84313B,BLUE TV TRAY TABLE ,Kitchen & Tableware,84251C,"GREETING CARD, TWO SISTERS.",Storage & Furniture,0.5384615384615384,279.03076923076924,21,Strong (bundle)
84313B,BLUE TV TRAY TABLE ,Kitchen & Tableware,20699,MOUSEY LONG LEGS SOFT TOY,Toys & Children,0.5128205128205128,259.2620387742339,20,Strong (bundle)
84509a,SET OF 4 ENGLISH ROSE PLACEMATS,Textiles & Covers,84510a,SET OF 4 ENGLISH ROSE COASTERS,Craft & Hobby,0.4117647058823529,213.3764705882353,28,Strong (bundle)
84510a,SET OF 4 ENGLISH ROSE COASTERS,Craft & Hobby,84509a,SET OF 4 ENGLISH ROSE PLACEMATS,Textiles & Covers,0.7,213.3764705882353,28,Strong (bundle)
84531A,PINK KNITTED EGG COSY,Easter & Spring,84531B,returned,Other,0.8333333333333334,595.632183908046,25,Strong (bundle)
84531B,BLUE KNITTED EGG COSY,Easter & Spring,84531A,returned,Other,0.8620689655172413,595.6321839080459,25,Strong (bundle)
84660B,BLACK STITCHED WALL CLOCK,Decor & Gifts,84660C,,Other,0.575,259.09999999999997,23,Strong (bundle)
84660C,,Other,84660B,BLACK STITCHED WALL CLOCK,Decor & Gifts,0.5,259.1,23,Strong (bundle)
84748,FOLK FELT HANGING MULTICOL GARLAND,Decor & Gifts,85095,THREE CANVAS LUGGAGE TAGS,Stationery,0.4918032786885246,212.37704918032787,30,Strong (bundle)
84748,FOLK FELT HANGING MULTICOL GARLAND,Decor & Gifts,21847,GREEN  DIAMANTE PEN IN GIFT BOX,Storage & Furniture,0.360655737704918,226.53551912568307,22,Strong (bundle)
85049a,TRADITIONAL CHRISTMAS RIBBONS,Seasonal / Holiday,85123a,WHITE HANGING HEART T-LIGHT HOLDER,Decor & Gifts,0.75,232.02985074626864,27,Strong (bundle)
85049a,TRADITIONAL CHRISTMAS RIBBONS,Seasonal / Holiday,82494l,WOODEN FRAME ANTIQUE WHITE ,Decor & Gifts,0.7222222222222222,245.4134790528233,26,Strong (bundle)
85049e,SCANDINAVIAN REDS RIBBONS,Craft & Hobby,85049a,TRADITIONAL CHRISTMAS RIBBONS,Seasonal / Holiday,0.5952380952380952,342.7248677248677,25,Strong (bundle)
85049g,CHOCOLATE BOX RIBBONS ,Storage & Furniture,84997d,PINK 3 PIECE POLKADOT CUTLERY SET,Kitchen & Tableware,0.803921568627451,228.269674993285,41,Strong (bundle)
85049g,CHOCOLATE BOX RIBBONS ,Storage & Furniture,84997d,CHILDRENS CUTLERY POLKADOT PINK,Kitchen & Tableware,0.803921568627451,228.269674993285,41,Strong (bundle)
85095,THREE CANVAS LUGGAGE TAGS,Stationery,84748,FOLK FELT HANGING MULTICOL GARLAND,Decor & Gifts,0.625,212.37704918032787,30,Strong (bundle)
85095,THREE CANVAS LUGGAGE TAGS,Stationery,21847,GREEN  DIAMANTE PEN IN GIFT BOX,Storage & Furniture,0.4166666666666667,261.7171717171717,20,Strong (bundle)
85123a,WHITE HANGING HEART T-LIGHT HOLDER,Decor & Gifts,85049a,TRADITIONAL CHRISTMAS RIBBONS,Seasonal / Holiday,0.4029850746268656,232.02985074626864,27,Strong (bundle)
85180B,PINK HEARTS LIGHT CHAIN ,Decor & Gifts,84251C,"GREETING CARD, TWO SISTERS.",Storage & Furniture,0.4791666666666667,248.30416666666667,23,Strong (bundle)
90115,SUMMER BUTTERFLIES BAG CHARM,Bags & Carriers,47591B,SCOTTIES CHILDRENS APRON,Toys & Children,0.6451612903225806,230.56729699666295,20,Strong (bundle)
90115,SUMMER BUTTERFLIES BAG CHARM,Bags & Carriers,47591B,,Other,0.6451612903225806,230.56729699666295,20,Strong (bundle)
