Base,Base_Description,Base_Category,Recommended,Rec_Description,Rec_Category,Confidence,Lift,Count,Interpretation
84997c,BLUE 3 PIECE POLKADOT CUTLERY SET,Kitchen & Tableware,84997b,RED 3 PIECE RETROSPOT CUTLERY SET,Kitchen & Tableware,0.8548387096774194,263.1372171401059,53,Strong (bundle)
84997c,BLUE 3 PIECE POLKADOT CUTLERY SET,Kitchen & Tableware,84997b,CHILDRENS CUTLERY RETROSPOT RED ,Kitchen & Tableware,0.8548387096774194,263.1372171401059,53,Strong (bundle)
84997c,CHILDRENS CUTLERY POLKADOT BLUE,Kitchen & Tableware,84997b,RED 3 PIECE RETROSPOT CUTLERY SET,Kitchen & Tableware,0.8548387096774194,263.1372171401059,53,Strong (bundle)
84997c,CHILDRENS CUTLERY POLKADOT BLUE,Kitchen & Tableware,84997b,CHILDRENS CUTLERY RETROSPOT RED ,Kitchen & Tableware,0.8548387096774194,263.1372171401059,53,Strong (bundle)
84997b,RED 3 PIECE RETROSPOT CUTLERY SET,Kitchen & Tableware,84997c,BLUE 3 PIECE POLKADOT CUTLERY SET,Kitchen & Tableware,0.7910447761194029,263.1372171401059,53,Strong (bundle)
84997b,RED 3 PIECE RETROSPOT CUTLERY SET,Kitchen & Tableware,84997c,CHILDRENS CUTLERY POLKADOT BLUE,Kitchen & Tableware,0.7910447761194029,263.1372171401059,53,Strong (bundle)
84997b,CHILDRENS CUTLERY RETROSPOT RED ,Kitchen & Tableware,84997c,BLUE 3 PIECE POLKADOT CUTLERY SET,Kitchen & Tableware,0.7910447761194029,263.1372171401059,53,Strong (bundle)
84997b,CHILDRENS CUTLERY RETROSPOT RED ,Kitchen & Tableware,84997c,CHILDRENS CUTLERY POLKADOT BLUE,Kitchen & Tableware,0.7910447761194029,263.1372171401059,53,Strong (bundle)
84997c,BLUE 3 PIECE POLKADOT CUTLERY SET,Kitchen & Tableware,84997d,PINK 3 PIECE POLKADOT CUTLERY SET,Kitchen & Tableware,0.8870967741935484,250.62306672558552,55,Strong (bundle)
84997c,BLUE 3 PIECE POLKADOT CUTLERY SET,Kitchen & Tableware,84997d,CHILDRENS CUTLERY POLKADOT PINK,Kitchen & Tableware,0.8870967741935484,250.62306672558552,55,Strong (bundle)
84997c,CHILDRENS CUTLERY POLKADOT BLUE,Kitchen & Tableware,84997d,PINK 3 PIECE POLKADOT CUTLERY SET,Kitchen & Tableware,0.8870967741935484,250.62306672558552,55,Strong (bundle)
84997c,CHILDRENS CUTLERY POLKADOT BLUE,Kitchen & Tableware,84997d,CHILDRENS CUTLERY POLKADOT PINK,Kitchen & Tableware,0.8870967741935484,250.62306672558552,55,Strong (bundle)
84997d,PINK 3 PIECE POLKADOT CUTLERY SET,Kitchen & Tableware,84997c,BLUE 3 PIECE POLKADOT CUTLERY SET,Kitchen & Tableware,0.7534246575342466,250.6230667255855,55,Strong (bundle)
84997d,PINK 3 PIECE POLKADOT CUTLERY SET,Kitchen & Tableware,84997c,CHILDRENS CUTLERY POLKADOT BLUE,Kitchen & Tableware,0.7534246575342466,250.6230667255855,55,Strong (bundle)
84997d,CHILDRENS CUTLERY POLKADOT PINK,Kitchen & Tableware,84997c,BLUE 3 PIECE POLKADOT CUTLERY SET,Kitchen & Tableware,0.7534246575342466,250.6230667255855,55,Strong (bundle)
84997d,CHILDRENS CUTLERY POLKADOT PINK,Kitchen & Tableware,84997c,CHILDRENS CUTLERY POLKADOT BLUE,Kitchen & Tableware,0.7534246575342466,250.6230667255855,55,Strong (bundle)
84997b,RED 3 PIECE RETROSPOT CUTLERY SET,Kitchen & Tableware,84997d,PINK 3 PIECE POLKADOT CUTLERY SET,Kitchen & Tableware,0.8805970149253731,248.78675117562872,59,Strong (bundle)
84997b,RED 3 PIECE RETROSPOT CUTLERY SET,Kitchen & Tableware,84997d,CHILDRENS CUTLERY POLKADOT PINK,Kitchen & Tableware,0.8805970149253731,248.78675117562872,59,Strong (bundle)
